Contig	Lean 	Siscowet 
Snamaycush_0850	0	1
Snamaycush_0851	2	6
Snamaycush_0852	0	0
Snamaycush_0853	119	111
Snamaycush_0854	8	5
Snamaycush_0855	7	4
Snamaycush_0856	0	0
Snamaycush_0857	0	1
Snamaycush_0858	12	25
Snamaycush_0859	1	3
Snamaycush_0860	44	44
Snamaycush_0861	102	57
Snamaycush_0862	13	11
Snamaycush_0863	9	3
Snamaycush_0864	9	6
Snamaycush_0865	0	0
Snamaycush_0866	1	3
Snamaycush_0867	25	15
Snamaycush_0868	1	1
Snamaycush_0869	54	40
Snamaycush_0870	3	0
Snamaycush_0871	30	28
Snamaycush_0872	0	0
Snamaycush_0873	17	27
Snamaycush_0874	0	2
Snamaycush_0875	348	319
Snamaycush_0876	1	0
Snamaycush_0877	30	37
Snamaycush_0878	1	0
Snamaycush_0879	0	0
Snamaycush_0880	2	0
Snamaycush_0881	0	0
Snamaycush_0882	1	2
Snamaycush_0883	3	2
Snamaycush_0884	140	94
Snamaycush_0885	120	104
Snamaycush_0886	229	167
Snamaycush_0887	1	0
Snamaycush_0888	0	0
Snamaycush_0889	16	18
Snamaycush_0890	11	21
Snamaycush_0891	6	9
Snamaycush_0892	5	7
Snamaycush_0893	9	4
Snamaycush_0894	2	0
Snamaycush_0895	1	1
Snamaycush_0896	4	9
Snamaycush_0897	12	15
Snamaycush_0898	22	26
Snamaycush_0899	7	9
Snamaycush_0900	4	1
Snamaycush_0901	4	2
Snamaycush_0902	16	17
Snamaycush_0903	7	0
Snamaycush_0904	0	0
Snamaycush_0905	3	9
Snamaycush_0906	5	4
Snamaycush_0907	53	737
Snamaycush_0908	40	15
Snamaycush_0909	29	14
Snamaycush_0910	26776	18546
Snamaycush_0911	12	4
Snamaycush_0912	3	5
Snamaycush_0913	4	1
Snamaycush_0914	3	2
Snamaycush_0915	0	0
Snamaycush_0916	9	6
Snamaycush_0917	19	10
Snamaycush_0918	0	0
Snamaycush_0919	93	115
Snamaycush_0920	78	49
Snamaycush_0921	6	4
Snamaycush_0922	10	10
Snamaycush_0923	12	12
Snamaycush_0924	1	0
Snamaycush_0925	9	9
Snamaycush_0926	16127	14341
Snamaycush_0927	21	17
Snamaycush_0928	94	89
Snamaycush_0929	101	75
Snamaycush_0930	0	0
Snamaycush_0931	20	9
Snamaycush_0932	13	4
Snamaycush_0933	0	0
Snamaycush_0934	51	53
Snamaycush_0935	6	6
Snamaycush_0936	2	3
Snamaycush_0937	166	103
Snamaycush_0938	52	49
Snamaycush_0939	41	40
Snamaycush_0940	14	8
Snamaycush_0941	17	20
Snamaycush_0942	3	1
Snamaycush_0943	19	10
Snamaycush_0944	0	0
Snamaycush_0945	42	54
Snamaycush_0946	2	3
Snamaycush_0947	0	0
Snamaycush_0948	12	6
Snamaycush_0949	0	0
Snamaycush_0950	0	0
Snamaycush_0951	0	0
Snamaycush_0952	0	3
Snamaycush_0953	32	19
Snamaycush_0954	27	22
Snamaycush_0955	3	5
Snamaycush_0956	10	7
Snamaycush_0957	16	13
Snamaycush_0958	14	4
Snamaycush_0959	0	0
Snamaycush_0960	0	0
Snamaycush_0961	0	0
Snamaycush_0962	1	4
Snamaycush_0963	155	123
Snamaycush_0964	47	34
Snamaycush_0965	15	15
Snamaycush_0966	1	3
Snamaycush_0967	5	7
Snamaycush_0968	3	6
Snamaycush_0969	0	0
Snamaycush_0970	0	0
Snamaycush_0971	7	9
Snamaycush_0972	0	0
Snamaycush_0973	39	25
Snamaycush_0974	29	22
Snamaycush_0975	1	0
Snamaycush_0976	38	35
Snamaycush_0977	23	15
Snamaycush_0978	6	1
Snamaycush_0979	4	14
Snamaycush_0980	1	2
Snamaycush_0981	1	2
Snamaycush_0982	22	9
Snamaycush_0983	12	11
Snamaycush_0984	5	8
Snamaycush_0985	36	31
Snamaycush_0986	2	7
Snamaycush_0987	15	14
Snamaycush_0988	1	0
